parcel_id,date,ndvi_value,temperature_c,rainfall_mm,sensor_status
PARCEL_018,2026-03-16,0.783,27.8,0.0,OK
PARCEL_011,20/01/2026,0.23,24.9,0.0,OK
PARCEL_021,2026-02-27,0.203,31.2,0.0,OK
PARCEL_021,2026-05-02,0.716,19.0,0.0,OK
PARCEL_019,2026-03-22,0.763,32.3,0.0,OK
PARCEL_022,07-Jan-2026,0.231,31.2,0.0,OK
PARCEL_011,2026-04-18,0.64,34.2,0.0,OK
PARCEL_022,2026-05-07,0.535,19.8,0.0,OK
PARCEL_020,2026-01-23,0.292,18.8,0.0,Error
PARCEL_002,2026-02-01,0.39,22.7,0.0,OK
PARCEL_019,2026-04-02,0.613,27.2,0.0,OK
PARCEL_008,2026-01-21,0.079,30.1,0.0,OK
PARCEL_008,2026-01-02,0.217,21.3,0.0,NA
PARCEL_006,2026-04-23,0.789,27.0,0.0,OK
PARCEL_009,2026-03-02,0.391,32.1,0.0,OK
PARCEL_014,2026-02-24,0.776,30.2,0.0,OK
PARCEL_012,27-Feb-2026,0.173,22.9,0.0,OK
PARCEL_009,05-Jan-2026,0.219,28.8,0.0,OK
PARCEL_012,2026-01-01,0.25,20.2,7.8,OK
PARCEL_017,27/02/2026,0.655,18.4,2.5,OK
PARCEL_012,2026-04-06,0.754,31.6,0.0,OK
PARCEL_021,2026-05-25,0.787,21.0,0.0,OK
PARCEL_022,22/05/2026,0.697,31.0,0.0,OK
PARCEL_002,2026-02-22,0.627,22.9,0.0,OK
PARCEL_014,2026-04-23,0.469,30.1,0.0,OK
PARCEL_011,31/03/2026,0.658,20.4,0.0,OK
PARCEL_021,2026-03-07,0.264,25.4,0.0,OK
PARCEL_020,2026-03-07,0.317,33.5,0.0,OK
PARCEL_011,2026-05-06,0.489,33.2,0.0,OK
PARCEL_006,2026-01-25,0.104,17.2,0.0,OK
PARCEL_009,26/04/2026,0.586,19.9,6.5,Error
PARCEL_022,2026-04-26,0.492,30.6,0.0,OK
PARCEL_022,2026-03-22,0.73,34.0,7.8,OK
PARCEL_013,12/01/2026,0.079,15.2,0.0,OK
PARCEL_018,18/03/2026,0.548,32.6,0.0,OK
PARCEL_022,08/05/2026,0.32,15.9,0.0,OK
PARCEL_005,2026-05-01,0.539,17.2,0.0,OK
PARCEL_004,2026-03-02,0.664,23.3,0.0,OK
PARCEL_024,27-Jan-2026,0.195,22.9,1.7,OK
PARCEL_013,2026-05-16,0.561,26.1,0.0,OK
PARCEL_001,2026-04-04,-1.163,22.3,0.0,Error
PARCEL_023,14-Mar-2026,-1.492,26.3,0.0,Error
PARCEL_025,05-Mar-2026,0.429,22.8,0.0,OK
PARCEL_005,2026-01-25,0.223,30.4,0.0,OK
PARCEL_003,2026-03-28,0.692,20.8,0.0,OK
PARCEL_003,05-Mar-2026,0.11,30.9,0.0,ok
PARCEL_001,2026-03-08,0.182,24.4,2.9,OK
PARCEL_021,2026-02-22,0.366,32.0,0.2,OK
PARCEL_024,2026-05-14,0.48,26.4,0.0,OK
PARCEL_023,2026-04-22,0.656,20.5,0.0,OK
PARCEL_020,30/01/2026,0.257,33.2,3.0,OK 
PARCEL_024,2026-02-11,0.224,16.7,0.0,OK
PARCEL_014,2026-04-22,0.712,30.4,0.0,OK
PARCEL_003,14/02/2026,0.209,26.7,0.0, OK
PARCEL_020,2026-02-22,0.392,16.6,4.6,ok
PARCEL_016,2026-02-03,0.26,28.7,0.0, OK
PARCEL_001,2026-03-09,0.249,35.4,0.0,OK
PARCEL_011,13/01/2026,0.122,18.0,0.0,OK
PARCEL_007,02/05/2026,0.582,31.7,1.1,OK
PARCEL_016,19-May-2026,0.514,26.9,0.0,OK
PARCEL_010,13-May-2026,0.547,23.0,0.0,OK
PARCEL_006,2026-03-15,1.2,19.2,0.0,Error
PARCEL_017,2026-05-04,0.623,35.2,0.0,OK
PARCEL_018,2026-05-10,0.702,21.2,0.0,OK
PARCEL_020,2026-04-13,0.617,27.5,0.0,error
PARCEL_021,15/02/2026,0.264,21.9,0.0,OK
PARCEL_010,31-Mar-2026,0.569,27.2,5.3,OK
PARCEL_022,11/02/2026,0.425,34.5,1.4,OK
PARCEL_018,2026-03-17,0.842,28.2,0.0,OK
PARCEL_021,2026-01-31,0.238,33.7,0.0,OK
PARCEL_008,09-Apr-2026,0.638,17.2,0.0,OK
PARCEL_018,21-Jan-2026,0.227,24.8,0.0,OK
PARCEL_024,2026-04-10,0.555,17.6,0.0,OK
PARCEL_010,26/02/2026,0.713,24.0,8.0,OK
PARCEL_002,2026-04-05,0.558,23.0,0.0,OK
PARCEL_022,2026-02-26,0.824,30.5,0.0,OK
PARCEL_001,19/05/2026,0.402,22.9,0.0,OK
PARCEL_012,2026-03-26,0.287,32.4,0.0,OK
PARCEL_017,2026-04-16,0.403,29.8,0.0,
PARCEL_005,2026-01-14,0.156,17.8,0.0,OK
PARCEL_016,2026-01-02,0.144,19.2,0.0,OK
PARCEL_008,18/03/2026,0.62,32.5,0.0,OK
PARCEL_023,2026-01-28,0.391,18.7,0.0,OK
PARCEL_010,22/03/2026,0.844,33.7,0.0,OK
PARCEL_012,2026-01-20,0.302,23.4,0.0,OK
PARCEL_015,2026-01-17,0.433,34.0,0.0,OK
PARCEL_014,2026-01-10,0.307,16.8,0.0,OK
PARCEL_003,2026-05-29,0.567,34.1,0.0,OK
PARCEL_003,2026-03-23,0.354,26.9,0.0,OK
PARCEL_015,2026-02-01,0.348,29.5,7.6,OK
PARCEL_023,2026-01-03,0.224,16.5,0.0,OK
PARCEL_012,2026-05-27,0.598,27.9,3.2,error
PARCEL_006,2026-04-03,0.555,33.9,0.0,OK
PARCEL_022,2026-01-16,0.39,24.7,0.0,OK
PARCEL_019,01/02/2026,0.326,26.6,0.0,OK
PARCEL_016,2026-02-16,0.465,31.3,0.0,OK
PARCEL_013,09/03/2026,0.369,30.5,0.0,OK
PARCEL_014,05/02/2026,0.759,30.5,0.0,OK
PARCEL_001,2026-03-29,0.784,32.8,0.0,OK
PARCEL_002,2026-01-01,0.079,28.0,0.0,OK
PARCEL_012,2026-01-29,0.271,23.2,0.0,
PARCEL_002,03-Mar-2026,0.767,25.1,0.0,OK
PARCEL_003,2026-05-21,0.576,30.2,0.0,OK
PARCEL_009,2026-05-21,0.443,27.4,0.0,OK
PARCEL_019,2026-01-05,0.212,16.5,0.0,OK
PARCEL_022,2026-03-04,0.683,34.9,0.0,OK
PARCEL_024,2026-02-22,0.606,28.1,0.0,OK
PARCEL_010,2026-05-26,0.467,33.0,4.3,OK
PARCEL_025,21/01/2026,0.181,24.8,0.0,OK
PARCEL_021,2026-04-14,0.551,24.0,0.0,OK
PARCEL_005,2026-02-01,0.091,30.6,6.8,OK
PARCEL_021,2026-01-08,0.25,25.2,0.0,OK
PARCEL_006,2026-01-26,0.196,22.3,0.0,OK
PARCEL_013,2026-04-22,0.601,20.9,0.0,OK 
PARCEL_016,2026-03-19,0.799,30.4,0.0,OK
PARCEL_002,2026-05-20,1.215,33.0,0.0,error
PARCEL_017,2026-04-06,0.859,24.1,0.0,OK
PARCEL_021,24/01/2026,0.253,23.8,6.8,OK
PARCEL_018,2026-04-07,0.614,34.8,0.0,OK
PARCEL_014,2026-02-18,0.501,17.2,0.0,OK
PARCEL_015,09-Mar-2026,0.684,27.0,0.0,OK
PARCEL_018,05/05/2026,0.445,26.8,0.0,OK
PARCEL_011,2026-05-21,0.496,25.9,0.0,Error
PARCEL_021,2026-05-07,0.595,29.2,0.0,OK
PARCEL_004,2026-02-19,0.745,22.8,0.0,OK
PARCEL_014,27/05/2026,0.763,32.6,0.0,OK
PARCEL_007,2026-03-10,0.777,28.8,8.9,OK
PARCEL_006,04/03/2026,0.336,17.2,0.0,OK
PARCEL_003,19/01/2026,0.202,20.1,0.0,OK
PARCEL_012,2026-05-17,0.556,31.8,4.8,OK
PARCEL_002,09/05/2026,0.618,29.6,0.0,OK
PARCEL_018,2026-01-25,0.25,27.6,3.0,OK
PARCEL_015,22-Mar-2026,0.734,22.6,1.6,NA
PARCEL_020,2026-01-25,0.092,30.9,0.0,OK
PARCEL_022,2026-04-28,0.712,20.9,0.0,OK
PARCEL_003,2026-03-26,0.503,15.7,0.0,OK
PARCEL_019,2026-03-02,0.634,25.6,0.0,OK
PARCEL_021,2026-02-28,0.257,22.4,0.0,OK
PARCEL_025,2026-04-10,0.667,29.7,1.0, OK
PARCEL_024,2026-03-12,0.563,30.1,0.0,OK
PARCEL_010,2026-04-02,0.641,26.0,2.5,ERROR
PARCEL_022,29-Jan-2026,0.232,16.2,1.0,OK
PARCEL_003,2026-01-18,0.191,24.0,3.7,OK
PARCEL_023,2026-01-06,0.209,33.3,0.0,OK
PARCEL_025,12-Jan-2026,0.109,19.3,2.3,NA
PARCEL_006,2026-02-17,0.253,25.3,0.0,OK
PARCEL_017,2026-05-10,-1.173,18.2,0.0,Error
PARCEL_003,13/05/2026,0.644,28.7,0.0,OK
PARCEL_002,2026-02-02,0.324,25.2,0.0,OK
PARCEL_003,21/01/2026,0.228,22.9,0.0,OK
PARCEL_004,2026-01-12,0.174,25.4,0.0,OK
PARCEL_016,2026-05-03,0.562,34.8,2.3,OK
PARCEL_020,2026-03-25,0.751,25.5,0.0,OK
PARCEL_003,26/05/2026,0.611,24.4,0.0,OK
PARCEL_005,2026-04-08,0.42,29.4,0.0,OK
PARCEL_014,2026-03-03,0.845,28.3,0.0,OK
PARCEL_009,2026-05-25,0.55,17.2,0.0,NaN
PARCEL_007,2026-01-08,0.111,25.2,0.0,Error
PARCEL_010,2026-01-14,0.459,33.9,0.0,OK
PARCEL_020,23/05/2026,0.736,17.8,0.0,OK
PARCEL_017,2026-02-11,0.256,21.4,0.0,OK 
PARCEL_007,2026-01-14,0.255,26.4,0.0,OK
PARCEL_011,2026-01-05,0.128,30.6,0.0,OK
PARCEL_015,29/05/2026,0.611,24.7,0.0,OK
PARCEL_009,2026-05-23,0.636,15.7,0.0,OK
PARCEL_008,2026-03-10,0.75,27.5,0.0,OK
PARCEL_022,2026-05-24,0.416,18.7,1.4,OK
PARCEL_007,2026-01-07,0.122,17.0,4.4,ok
PARCEL_024,2026-05-02,0.485,25.8,0.0,OK
PARCEL_016,2026-01-26,0.194,20.6,2.4,NA
PARCEL_022,2026-02-24,0.615,18.0,5.2,OK
PARCEL_006,2026-05-30,0.456,18.0,0.0,OK
PARCEL_017,2026-03-11,0.638,27.4,5.7,Error
PARCEL_014,2026-04-11,0.735,21.2,0.0,OK
PARCEL_025,2026-04-14,0.68,23.5,5.8,OK
PARCEL_016,2026-03-09,0.738,21.8,0.0,OK
PARCEL_005,01/04/2026,0.434,25.3,2.3,OK
PARCEL_015,06/03/2026,0.786,34.6,0.0,OK
PARCEL_025,2026-01-11,0.21,25.2,1.4,OK
PARCEL_009,07/04/2026,0.771,18.7,10.0,OK
PARCEL_004,2026-05-01,0.641,34.6,1.2,OK
PARCEL_001,2026-03-24,0.81,16.0,0.0,OK
PARCEL_011,2026-01-25,0.189,24.1,1.5,OK
PARCEL_024,2026-05-31,0.514,15.5,6.9,OK
PARCEL_025,19/04/2026,0.561,24.5,0.0,OK
PARCEL_021,05/04/2026,1.235,16.7,0.0,ERROR
PARCEL_002,2026-01-19,0.302,34.9,0.0,OK
PARCEL_020,28/02/2026,0.41,24.3,2.5,OK
PARCEL_016,17-Mar-2026,0.814,16.3,0.0,OK
PARCEL_017,03/02/2026,0.31,29.2,4.1,OK
PARCEL_002,06/03/2026,0.626,34.6,7.2,OK
PARCEL_013,2026-05-29,0.509,18.1,0.0,OK
PARCEL_025,18/04/2026,0.624,20.4,0.0,OK
PARCEL_018,13/04/2026,0.432,20.6,0.0,OK
PARCEL_012,2026-02-28,0.191,32.9,0.0,OK
PARCEL_021,2026-02-09,0.208,26.5,0.0,OK
PARCEL_018,2026-05-21,0.502,22.2,0.0,OK
PARCEL_006,24-Feb-2026,0.3,30.7,0.0,OK
PARCEL_007,2026-05-31,0.444,18.5,0.0,OK
PARCEL_008,2026-03-06,0.691,22.1,2.8,OK
PARCEL_020,2026-02-21,0.254,31.1,0.0,OK
PARCEL_016,2026-02-09,0.333,29.9,0.0,OK
PARCEL_007,2026-03-26,0.542,28.6,2.7,OK
PARCEL_011,2026-04-28,0.526,29.9,0.0,OK
PARCEL_005,2026-05-09,0.598,32.6,4.8,OK
PARCEL_010,2026-05-20,0.634,32.9,0.0,OK
PARCEL_002,2026-04-15,0.942,26.0,0.0,OK
PARCEL_009,2026-01-12,0.207,17.1,0.0,OK
PARCEL_023,2026-03-30,0.625,29.4,0.0,OK
PARCEL_003,30/05/2026,0.501,15.5,1.0,OK
PARCEL_018,2026-02-26,0.541,17.1,0.0,OK
PARCEL_098,2026-03-11,0.395,27.3,0.0,OK
PARCEL_003,2026-02-26,0.356,25.1,0.0,OK
PARCEL_011,15-May-2026,0.482,25.7,0.0,OK
PARCEL_016,2026-02-14,0.264,28.2,9.6,NA
PARCEL_011,2026-02-22,0.404,33.0,0.0,OK
PARCEL_017,2026-01-20,0.228,20.6,0.0,ok
PARCEL_003,2026-05-05,0.558,21.2,0.0,OK
PARCEL_005,2026-01-04,0.227,17.2,8.9,OK
PARCEL_013,2026-03-23,0.395,17.0,0.0,OK
PARCEL_008,2026-01-07,0.06,27.2,0.0,OK
PARCEL_014,2026-02-26,0.591,21.9,0.0,OK
PARCEL_016,22/04/2026,0.682,29.9,0.0,OK
PARCEL_017,2026-03-28,0.685,35.2,0.0,OK
PARCEL_002,2026-05-17,0.422,19.5,0.0,OK
PARCEL_007,31/01/2026,0.354,17.8,0.0,error
PARCEL_024,2026-02-15,0.519,34.2,0.0,OK
PARCEL_019,2026-04-06,0.678,26.3,0.0,OK
PARCEL_006,2026-03-05,0.392,30.3,0.0,OK
PARCEL_025,03/01/2026,0.139,26.9,0.0,OK
PARCEL_012,2026-02-24,0.179,26.5,0.0,ok
PARCEL_017,09/05/2026,0.49,23.1,3.0,OK
PARCEL_006,14/04/2026,0.762,23.3,4.3,Error
PARCEL_007,2026-01-27,0.548,23.9,0.0,OK
PARCEL_002,01-Mar-2026,0.638,30.0,0.0,OK
PARCEL_001,10/02/2026,0.434,17.0,0.0,OK
PARCEL_017,2026-04-09,0.779,17.9,0.0,OK
PARCEL_016,23/05/2026,0.638,29.8,0.0,OK
PARCEL_020,2026-02-15,0.16,27.9,0.0,OK
PARCEL_025,2026-02-03,0.065,32.8,0.0,ok
PARCEL_017,2026-05-14,0.72,25.7,0.0,OK
PARCEL_009,2026-01-02,-1.677,27.4,4.7,Error
PARCEL_002,2026-01-10,0.236,34.0,0.0,OK
PARCEL_012,25-Jan-2026,0.111,28.7,0.0,OK
PARCEL_023,23-Jan-2026,0.118,17.4,0.0,OK
PARCEL_019,2026-03-01,0.851,26.9,3.6,OK
PARCEL_006,2026-03-03,0.381,20.2,0.0,OK
PARCEL_020,2026-04-17,0.652,34.3,3.1,ERROR
PARCEL_025,2026-01-24,0.169,21.8,0.0,OK
PARCEL_013,2026-02-09,0.222,24.8,5.3,OK
PARCEL_006,2026-05-31,0.377,23.0,0.0,OK
PARCEL_017,29/03/2026,0.736,18.1,0.0,NA
PARCEL_013,2026-05-19,0.642,33.7,0.0,OK
PARCEL_003,2026-04-05,0.566,20.3,0.0,OK
PARCEL_018,2026-02-20,0.703,15.7,0.0,OK
PARCEL_003,2026-03-02,0.301,33.7,0.0,OK
PARCEL_019,2026-04-15,0.626,33.9,2.1,OK
PARCEL_010,05/04/2026,0.796,34.7,0.0,OK
PARCEL_014,2026-01-22,0.472,18.6,0.0,OK
PARCEL_023,2026-05-27,0.569,25.0,0.0,OK
PARCEL_020,18/01/2026,0.247,25.9,0.0,OK
PARCEL_017,08/04/2026,0.864,19.1,4.5,OK
PARCEL_023,14-Apr-2026,0.736,21.7,0.0,OK
PARCEL_002,2026-03-18,0.806,17.8,0.0,OK
PARCEL_015,2026-04-08,0.722,18.1,4.8,OK
PARCEL_004,2026-03-06,0.678,26.7,0.0,OK
PARCEL_001,03/04/2026,0.618,24.6,2.5,OK
PARCEL_017,2026-01-30,0.342,17.2,0.0,OK
PARCEL_025,2026-02-27,0.333,27.3,0.0,error
PARCEL_008,2026-05-10,0.682,30.1,0.0,OK
PARCEL_019,20-Mar-2026,0.745,24.9,0.0,OK
PARCEL_018,2026-02-23,0.643,30.4,0.0,OK
PARCEL_009,2026-04-17,0.782,30.9,0.0,OK
PARCEL_025,2026-02-15,0.218,28.7,0.0,OK
PARCEL_021,2026-05-30,0.531,28.5,0.0,OK
PARCEL_020,2026-03-24,0.67,35.3,2.4,OK
PARCEL_022,14/01/2026,0.358,32.6,0.0,OK
PARCEL_005,10/05/2026,0.535,31.3,0.0,OK
PARCEL_011,2026-05-17,0.546,26.7,0.0,OK
PARCEL_016,27/05/2026,0.634,21.3,0.0,ok
PARCEL_022,2026-05-25,0.388,31.4,0.0,OK
PARCEL_022,2026-04-16,0.461,24.0,0.0,OK
PARCEL_014,2026-05-17,0.645,29.9,0.0,OK
PARCEL_011,2026-03-10,0.39,33.1,0.0,OK
PARCEL_014,2026-03-09,0.846,16.7,4.3,OK
PARCEL_002,2026-05-04,0.597,23.8,0.0,OK
PARCEL_001,10/01/2026,0.206,33.8,0.0,OK
PARCEL_008,2026-01-04,0.18,18.8,7.0,OK
PARCEL_017,2026-01-08,0.133,20.0,0.0,OK
PARCEL_011,2026-02-24,0.524,21.6,0.0,OK
PARCEL_018,2026-05-18,0.366,33.7,0.0,OK
PARCEL_005,2026-05-12,0.621,22.7,0.0,OK
PARCEL_025,2026-05-03,0.776,15.7,0.0,OK 
PARCEL_014,08/05/2026,0.368,18.0,0.0,OK
PARCEL_008,2026-03-31,0.71,27.2,0.0,OK
PARCEL_007,2026-02-12,0.319,30.1,6.9,OK
PARCEL_020,2026-03-22,0.713,17.5,0.0,OK
PARCEL_021,03/03/2026,0.36,29.1,0.0,OK
PARCEL_010,2026-01-26,0.407,16.8,0.0,OK
PARCEL_005,2026-02-14,0.26,21.7,0.0,OK
PARCEL_016,2026-05-20,0.504,29.1,0.0,OK
PARCEL_004,26-Feb-2026,0.751,34.7,0.0,OK
PARCEL_009,2026-01-15,0.115,25.5,7.4,OK
PARCEL_021,07-Feb-2026,0.16,17.2,0.0,OK
PARCEL_021,2026-05-19,0.49,28.3,0.0,OK
PARCEL_009,2026-03-24,0.717,30.6,0.0,OK
PARCEL_015,2026-04-18,0.414,34.5,0.0,OK
PARCEL_016,10/04/2026,1.444,27.5,0.0,error
PARCEL_014,2026-05-05,0.571,30.2,0.0,OK
PARCEL_025,06-Mar-2026,0.273,34.7,0.0,OK
PARCEL_011,08-Feb-2026,0.185,31.2,0.0,OK
PARCEL_002,2026-01-29,0.275,16.1,0.0,OK
PARCEL_010,2026-04-22,0.63,27.8,0.0,OK
PARCEL_012,2026-02-09,0.21,22.9,0.0,OK
PARCEL_024,24/02/2026,0.687,20.6,0.0,OK
PARCEL_014,2026-04-15,0.614,24.4,0.0,OK
PARCEL_004,2026-04-28,0.308,23.8,0.0,OK
PARCEL_004,2026-04-01,0.54,22.6,0.0,NaN
PARCEL_018,2026-01-26,0.392,21.5,4.2,OK
PARCEL_012,2026-03-13,0.336,25.3,1.4,OK
PARCEL_012,2026-03-04,0.203,30.6,0.0,OK
PARCEL_024,2026-03-26,0.533,26.5,3.4,OK
PARCEL_006,15/01/2026,0.219,26.3,0.0,
PARCEL_021,2026-01-30,0.195,23.9,0.0,OK
PARCEL_008,16-Feb-2026,0.487,29.7,0.0,OK
PARCEL_020,05-Mar-2026,0.308,27.7,2.6,
PARCEL_017,2026-05-06,0.356,31.2,0.0,OK
PARCEL_017,2026-05-21,0.621,15.5,3.3,OK
PARCEL_012,07/04/2026,0.634,21.8,6.3,OK
PARCEL_002,2026-02-19,0.724,16.4,0.0,OK
PARCEL_020,2026-01-28,0.21,29.1,3.4,OK
PARCEL_003,2026-03-14,0.287,21.8,0.0,OK
PARCEL_002,24/04/2026,0.546,32.5,0.0,OK
PARCEL_002,2026-04-20,0.627,17.1,0.0,OK
PARCEL_012,2026-03-28,0.484,20.1,0.0,OK
PARCEL_004,2026-03-28,0.832,20.5,0.0,OK
PARCEL_010,2026-03-25,0.729,25.7,0.0,OK
PARCEL_020,2026-01-21,0.135,22.1,0.0, OK
PARCEL_019,2026-03-30,0.67,21.0,0.0,OK
PARCEL_019,2026-02-10,0.298,34.5,0.0,OK
PARCEL_017,2026-04-30,0.43,30.4,0.0,OK
PARCEL_003,2026-05-23,0.739,24.5,0.0,OK
PARCEL_018,2026-01-23,0.258,16.7,5.0,OK
PARCEL_003,04/03/2026,0.443,19.5,2.0,OK
PARCEL_012,2026-02-10,0.189,24.3,0.0,OK
PARCEL_009,2026-03-31,0.763,18.0,0.0,OK
PARCEL_020,20-Feb-2026,0.471,19.8,0.0,OK
PARCEL_015,2026-04-11,0.397,26.8,0.0,OK
PARCEL_005,2026-01-26,0.094,23.5,2.4,OK
PARCEL_006,2026-04-29,0.527,18.7,3.8,OK
PARCEL_013,2026-03-30,0.471,32.4,0.0,OK
PARCEL_010,07-Apr-2026,0.677,20.8,12.0,OK
PARCEL_020,19-Jan-2026,0.122,29.8,0.0,OK
PARCEL_002,2026-03-28,-1.702,26.1,0.0,error
PARCEL_016,2026-03-06,0.752,20.8,0.0,OK
PARCEL_015,2026-04-09,0.633,24.9,0.0,OK
PARCEL_007,2026-02-28,0.737,15.7,0.0,OK 
PARCEL_015,12/05/2026,0.668,27.4,7.7,OK
PARCEL_002,2026-03-26,0.617,18.2,0.0,OK
PARCEL_019,2026-01-13,0.213,27.3,0.0,OK
PARCEL_020,15/04/2026,0.667,16.3,6.7,OK
PARCEL_005,2026-03-03,1.986,29.8,0.0,ERROR
PARCEL_014,17/04/2026,0.641,32.9,0.0,OK
PARCEL_014,2026-05-26,0.48,29.7,0.0,OK
PARCEL_010,2026-03-03,0.671,34.1,1.0,OK
PARCEL_010,26/03/2026,0.858,30.6,4.0,OK
PARCEL_009,13/05/2026,0.695,22.0,0.0,OK
PARCEL_017,07/04/2026,1.405,25.8,0.0,ERROR
PARCEL_023,2026-03-15,0.545,24.0,0.0,ERROR
PARCEL_012,2026-04-02,0.572,18.2,3.2,ERROR
PARCEL_014,2026-04-09,0.611,33.4,0.0,OK
PARCEL_005,23/02/2026,0.134,24.9,0.0,OK
PARCEL_017,2026-01-03,0.205,15.4,0.0,OK
PARCEL_004,2026-01-29,0.323,29.9,0.0,OK
PARCEL_008,2026-03-27,0.518,16.1,0.0,OK
PARCEL_009,2026-02-20,0.323,18.9,0.0,OK
PARCEL_006,2026-02-11,0.276,27.2,0.0,OK
PARCEL_022,2026-01-18,0.32,15.6,0.0,OK
PARCEL_016,09/05/2026,0.542,20.8,0.1,OK
PARCEL_012,2026-01-21,0.131,31.2,6.5,OK
PARCEL_099,2026-04-10,0.834,31.6,0.0,OK
PARCEL_021,2026-04-11,0.477,22.9,0.0,NA
PARCEL_020,2026-05-12,0.709,33.3,0.0,OK
PARCEL_025,2026-03-03,0.423,30.9,1.3,OK
PARCEL_016,2026-04-21,-1.553,17.6,0.0,Error
PARCEL_013,2026-02-14,0.289,33.4,6.1,OK
PARCEL_014,11/02/2026,0.785,16.7,0.0,OK
PARCEL_020,20/01/2026,0.139,24.0,0.0,OK
PARCEL_016,2026-01-28,0.168,31.2,3.9,OK
PARCEL_022,2026-05-19,0.449,28.3,0.0,OK
PARCEL_005,2026-02-24,0.305,31.3,0.0,OK
PARCEL_005,2026-03-23,0.457,20.6,0.0,OK
PARCEL_011,2026-03-09,0.502,22.1,0.0,error
PARCEL_010,26/04/2026,0.523,22.0,0.0,OK
PARCEL_014,09/01/2026,0.288,21.4,0.0,OK
PARCEL_016,2026-02-18,0.306,30.9,0.0,NaN
PARCEL_017,09/03/2026,0.782,29.3,0.0,OK
PARCEL_025,09-Feb-2026,0.201,25.8,0.0,OK
PARCEL_005,2026-01-20,0.199,28.4,0.0,OK
PARCEL_025,2026-03-04,0.4,22.0,0.0,OK
PARCEL_003,18/03/2026,0.524,27.5,4.4,OK
PARCEL_010,2026-02-07,0.605,27.2,0.0,OK
PARCEL_023,2026-01-20,0.212,15.2,0.0,OK
PARCEL_024,2026-04-14,0.419,16.1,0.0,OK
PARCEL_021,21-Jan-2026,0.051,21.9,0.0,OK
PARCEL_016,2026-01-14,0.153,26.6,0.0,ok
PARCEL_017,2026-02-19,0.745,20.8,0.0,OK
PARCEL_018,2026-04-25,0.55,23.2,0.0,OK
PARCEL_004,2026-02-25,0.747,29.4,0.0,OK
PARCEL_022,25/03/2026,0.805,25.3,0.0,OK
PARCEL_003,16/01/2026,0.176,22.8,0.0,OK
PARCEL_011,2026-03-02,0.356,25.9,0.0,OK
PARCEL_022,2026-02-02,0.38,33.1,0.0,NaN
PARCEL_002,2026-05-23,0.542,17.0,4.5,OK
PARCEL_021,2026-01-07,0.078,29.4,0.0,OK
PARCEL_023,2026-02-12,0.363,19.7,5.1,OK
PARCEL_021,2026-01-17,0.168,17.4,0.0,OK
PARCEL_001,2026-05-09,0.809,22.9,11.3,OK
PARCEL_014,20/03/2026,1.249,32.6,0.0,ERROR
PARCEL_017,2026-05-29,1.997,30.2,0.0,error
PARCEL_005,2026-01-21,0.078,19.3,0.0,OK
PARCEL_024,10-Jan-2026,0.139,24.1,14.3,OK
PARCEL_015,2026-04-07,1.984,33.2,0.0,ERROR
PARCEL_098,17/02/2026,0.266,21.1,1.2,OK
PARCEL_017,2026-02-02,0.438,22.9,0.0,OK
PARCEL_017,2026-03-16,0.803,21.7,0.0,OK
PARCEL_014,2026-05-16,0.427,17.6,2.9,OK
PARCEL_004,18/01/2026,0.176,28.0,0.0,OK
PARCEL_024,2026-04-22,0.592,23.3,0.0,OK
PARCEL_014,2026-04-27,0.512,34.1,0.0,OK
PARCEL_021,2026-04-02,0.453,15.7,0.0,OK
PARCEL_002,29/05/2026,0.474,20.8,0.0,OK
PARCEL_017,2026-05-13,0.487,16.4,0.0,OK
PARCEL_009,2026-05-04,1.067,21.1,9.0,error
PARCEL_016,2026-03-10,0.811,28.4,0.0,OK
PARCEL_009,2026-02-03,0.116,23.3,0.0,Error
PARCEL_019,2026-03-08,0.572,20.4,2.3,Error
PARCEL_008,2026-01-24,0.278,33.5,3.4,OK
PARCEL_001,2026-02-25,0.377,16.8,0.0,OK
PARCEL_010,23/03/2026,0.616,23.2,0.0,
PARCEL_003,07-Apr-2026,0.435,19.9,3.6,OK
PARCEL_010,2026-01-21,0.448,32.1,0.0,OK
PARCEL_009,2026-03-01,0.34,22.6,0.0,OK
PARCEL_006,2026-01-10,0.163,25.3,0.0,OK
PARCEL_018,2026-01-12,0.171,33.5,0.0,OK
PARCEL_011,16/03/2026,0.134,20.1,0.0,OK
PARCEL_006,23/03/2026,0.705,27.2,0.0,OK
PARCEL_003,17/01/2026,1.65,30.2,4.2,error
PARCEL_007,2026-01-04,0.196,16.7,0.0,OK
PARCEL_023,2026-03-11,0.901,20.8,0.0,ERROR
PARCEL_006,2026-01-02,0.152,18.0,0.0,OK
PARCEL_012,23/05/2026,0.609,18.4,11.1,OK
PARCEL_099,2026-01-16,0.099,19.3,8.2,OK
PARCEL_014,04/01/2026,0.219,20.3,0.0,OK
PARCEL_024,15-Jan-2026,0.219,28.0,2.6,OK
PARCEL_021,08-May-2026,0.528,30.9,0.0,OK
PARCEL_002,2026-04-28,0.423,19.2,0.0,OK
PARCEL_009,20/01/2026,0.027,28.5,0.0,OK
PARCEL_020,2026-05-29,0.64,30.9,0.0,NA
PARCEL_019,2026-03-31,0.581,22.0,2.9,OK
PARCEL_001,2026-05-18,0.597,15.5,0.0,OK
PARCEL_008,2026-02-05,0.222,28.6,0.0,OK
